"Id","Indicator","CollectionFrequency","YearType","Year","Total","Apr","May","Jun","Q1","Jul","Aug","Sep","Q2","Oct","Nov","Dec","Q3","Jan","Feb","Mar","Q4","Polarity"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2018/2019","28302.00","2142.00","2072.00","2308.00","6522.00","3170.00","3243.00","2683.00","9096.00","3409.00","1319.00","1907.00","6635.00","2344.00","2041.00","1664.00","6049.00","Up is Good"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2019/2020","25653.00","1847.00","1732.00","1896.00","5475.00","2980.00","3582.00","2371.00","8933.00","2744.00","2118.00","1537.00","6399.00","1612.00","1750.00","1484.00","4846.00","Up is Good"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2020/2021","1856.00","0.00","0.00","0.00","0.00","0.00","0.00","590.00","590.00","753.00","106.00","358.00","1217.00","49.00","0.00","0.00","49.00","Up is Good"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2021/2022","9149.00","411.00","548.00","598.00","1557.00","843.00","926.00","924.00","2693.00","772.00","765.00","585.00","2122.00","835.00","822.00","1120.00","2777.00","Up is Good"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2022/2023","","1100.00","1028.00","34.00","2162.00","79.00","46.00","45.00","170.00","0.00","0.00","0.00","0.00","","","","","Up is Good"
"LIB01-I","Library Visits - Huntington Library","Monthly","Financial Year","2011/2012","24869.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-I","Library Visits - Huntington Library","Monthly","Financial Year","2012/2013","22817.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-I","Library Visits - Huntington Library","Monthly","Financial Year","2013/2014","22052.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-I","Library Visits - Huntington Library","Monthly","Financial Year","2014/2015","24357.00","1767.00","1974.00","1962.00","5703.00","2355.00","2612.00","2051.00","7018.00","2252.00","1853.00","1403.00","5508.00","1965.00","1942.00","2221.00","6128.00","Up is Good"
"LIB01-I","Library Visits - Huntington Library","Monthly","Financial Year","2015/2016","24085.00","1933.00","1870.00","1916.00","5719.00","1942.00","2093.00","2151.00","6186.00","2216.00","2071.00","1712.00","5999.00","2069.00","2031.00","2081.00","6181.00","Up is Good"
"LIB01-I","Library Visits - Huntington Library","Monthly","Financial Year","2016/2017","24750.00","1829.00","1729.00","1964.00","5522.00","2036.00","1832.00","1985.00","5853.00","2217.00","2181.00","1824.00","6222.00","2309.00","2244.00","2600.00","7153.00","Up is Good"
"LIB01-I","Library Visits - Huntington Library","Monthly","Financial Year","2017/2018","25734.00","2116.00","1960.00","2220.00","6296.00","2432.00","2073.00","2021.00","6526.00","2088.00","2317.00","1576.00","5981.00","2605.00","2020.00","2306.00","6931.00","Up is Good"
"LIB01-I","Library Visits - Huntington Library","Monthly","Financial Year","2018/2019","23224.00","1920.00","1937.00","1919.00","5776.00","2206.00","2178.00","1767.00","6151.00","1524.00","1858.00","1431.00","4813.00","2472.00","1972.00","2040.00","6484.00","Up is Good"
"LIB01-I","Library Visits - Huntington Library","Monthly","Financial Year","2019/2020","26576.00","1763.00","1764.00","2020.00","5547.00","2064.00","2040.00","2198.00","6302.00","2746.00","2674.00","1815.00","7235.00","3147.00","2564.00","1781.00","7492.00","Up is Good"
