indicator_id,Activity,LibraryName,CollectionFrequency,financialYear,Total,April,May,June,Q1,July,Aug,September,Q2,October,November,December,Q3,January,February,March,Q4,Polarity
LIB01-E,Library Visits,Dringhouses Library,Monthly,2014-03-31,22550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-E,Library Visits,Dringhouses Library,Monthly,2015-03-31,25002.0,1791.0,1841.0,2129.0,5761.0,2972.0,2577.0,2406.0,7955.0,2263.0,1954.0,1533.0,5750.0,1965.0,1725.0,1846.0,5536.0,Up is Good
LIB01-E,Library Visits,Dringhouses Library,Monthly,2016-03-31,23047.0,1682.0,1927.0,1980.0,5589.0,2128.0,2117.0,1935.0,6180.0,2161.0,1949.0,1636.0,5746.0,1807.0,1833.0,1892.0,5532.0,Up is Good
LIB01-E,Library Visits,Dringhouses Library,Monthly,2017-03-31,22911.0,1808.0,1777.0,1818.0,5403.0,2196.0,2163.0,2030.0,6389.0,1913.0,1908.0,1602.0,5423.0,1850.0,1914.0,1932.0,5696.0,Up is Good
LIB01-E,Library Visits,Dringhouses Library,Monthly,2018-03-31,22924.0,1733.0,1889.0,1865.0,5487.0,2147.0,2202.0,2022.0,6371.0,2099.0,2085.0,1335.0,5519.0,1915.0,1738.0,1894.0,5547.0,Up is Good
LIB01-E,Library Visits,Dringhouses Library,Monthly,2019-03-31,22086.0,1792.0,1778.0,1794.0,5364.0,2098.0,2028.0,1795.0,5921.0,2087.0,1911.0,1291.0,5289.0,1971.0,1780.0,1761.0,5512.0,Up is Good
LIB01-E,Library Visits,Dringhouses Library,Monthly,2020-03-31,20952.0,1782.0,1632.0,1779.0,5193.0,2127.0,2075.0,1624.0,5826.0,1983.0,1830.0,1303.0,5116.0,1791.0,1841.0,1185.0,4817.0,Up is Good
LIB01-E,Library Visits,Dringhouses Library,Monthly,2021-03-31,2154.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,630.0,811.0,106.0,524.0,1441.0,83.0,0.0,0.0,83.0,Up is Good
LIB01-E,Library Visits,Dringhouses Library,Monthly,2022-03-31,13257.0,462.0,738.0,723.0,1923.0,1024.0,1404.0,1341.0,3769.0,1369.0,1385.0,1087.0,3841.0,1168.0,1093.0,1463.0,3724.0,Up is Good
LIB01-E,Library Visits,Dringhouses Library,Monthly,2023-03-31,0.0,1359.0,1456.0,1299.0,4114.0,1570.0,1722.0,1475.0,4767.0,1617.0,1358.0,1153.0,4128.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2012-03-31,15579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2013-03-31,15401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2014-03-31,18446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2015-03-31,19467.0,1451.0,2011.0,1503.0,4965.0,2021.0,2000.0,1480.0,5501.0,1481.0,1816.0,1316.0,4613.0,1551.0,1322.0,1515.0,4388.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2016-03-31,20182.0,1413.0,1646.0,1461.0,4520.0,2133.0,1803.0,1593.0,5529.0,1728.0,1782.0,1464.0,4974.0,1678.0,1648.0,1833.0,5159.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2017-03-31,20696.0,1728.0,1537.0,1574.0,4839.0,1893.0,1878.0,1793.0,5564.0,1620.0,1892.0,1601.0,5113.0,1724.0,1550.0,1906.0,5180.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2018-03-31,20404.0,1528.0,1590.0,1487.0,4605.0,2102.0,2045.0,1829.0,5976.0,1881.0,1634.0,1473.0,4988.0,1603.0,1516.0,1716.0,4835.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2019-03-31,20312.0,1566.0,1683.0,1902.0,5151.0,1612.0,1940.0,1812.0,5364.0,1776.0,1939.0,1272.0,4987.0,1640.0,1497.0,1673.0,4810.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2020-03-31,19742.0,1965.0,1260.0,2006.0,5231.0,1821.0,2350.0,1755.0,5926.0,1577.0,1913.0,1126.0,4616.0,1265.0,1457.0,1247.0,3969.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2021-03-31,2098.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,687.0,773.0,115.0,457.0,1345.0,66.0,0.0,0.0,66.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2022-03-31,10024.0,372.0,611.0,713.0,1696.0,842.0,1034.0,911.0,2787.0,911.0,1144.0,609.0,2664.0,907.0,916.0,1054.0,2877.0,Up is Good
LIB01-F,Library Visits,Dunnington Library,Monthly,2023-03-31,0.0,1101.0,1000.0,927.0,3028.0,1092.0,1143.0,1023.0,3258.0,1121.0,989.0,974.0,3084.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2012-03-31,20797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2013-03-31,22015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2014-03-31,27030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2015-03-31,28706.0,1936.0,2196.0,2446.0,6578.0,3339.0,1703.0,2882.0,7924.0,2319.0,2849.0,1703.0,6871.0,2671.0,2147.0,2515.0,7333.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2016-03-31,23975.0,1736.0,1995.0,2145.0,5876.0,1975.0,1067.0,1632.0,4674.0,2357.0,2253.0,1724.0,6334.0,2436.0,2340.0,2315.0,7091.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2017-03-31,25931.0,2056.0,1979.0,2146.0,6181.0,2377.0,1126.0,2340.0,5843.0,2368.0,2516.0,1825.0,6709.0,2498.0,1994.0,2706.0,7198.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2018-03-31,25322.0,1724.0,2235.0,2394.0,6353.0,2292.0,1406.0,2163.0,5861.0,2379.0,2273.0,1850.0,6502.0,2399.0,2036.0,2171.0,6606.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2019-03-31,25220.0,1847.0,2004.0,2039.0,5890.0,2084.0,1353.0,2259.0,5696.0,2867.0,2449.0,1625.0,6941.0,2152.0,2039.0,2502.0,6693.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2020-03-31,26335.0,1757.0,2236.0,2026.0,6019.0,2080.0,1471.0,2513.0,6064.0,2990.0,2700.0,2035.0,7725.0,2693.0,2149.0,1685.0,6527.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2021-03-31,2813.0,0.0,0.0,0.0,0.0,0.0,0.0,843.0,843.0,1181.0,143.0,612.0,1936.0,34.0,0.0,0.0,34.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2022-03-31,15163.0,649.0,1047.0,889.0,2585.0,1129.0,948.0,1085.0,3162.0,1541.0,1529.0,1254.0,4324.0,1708.0,1513.0,1871.0,5092.0,Up is Good
LIB01-G,Library Visits,Fulford Library,Monthly,2023-03-31,0.0,1467.0,1733.0,1707.0,4907.0,1920.0,1323.0,2145.0,5388.0,2092.0,2622.0,1661.0,6375.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2012-03-31,44185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2013-03-31,41606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2014-03-31,44231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2015-03-31,48102.0,3544.0,3241.0,3819.0,10604.0,4947.0,5199.0,4880.0,15026.0,4502.0,4192.0,2765.0,11459.0,3918.0,3204.0,3891.0,11013.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2016-03-31,43818.0,3075.0,3475.0,3712.0,10262.0,4476.0,4088.0,4052.0,12616.0,3613.0,3754.0,2720.0,10087.0,3763.0,3740.0,3350.0,10853.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2017-03-31,23080.0,3763.0,3211.0,3312.0,10286.0,2827.0,1804.0,1277.0,5908.0,1354.0,1272.0,1046.0,3672.0,1081.0,1051.0,1082.0,3214.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2018-03-31,25337.0,1035.0,1129.0,1187.0,3351.0,2334.0,3791.0,3138.0,9263.0,2702.0,2242.0,1639.0,6583.0,2290.0,2054.0,1796.0,6140.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2019-03-31,28302.0,2142.0,2072.0,2308.0,6522.0,3170.0,3243.0,2683.0,9096.0,3409.0,1319.0,1907.0,6635.0,2344.0,2041.0,1664.0,6049.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2020-03-31,25653.0,1847.0,1732.0,1896.0,5475.0,2980.0,3582.0,2371.0,8933.0,2744.0,2118.0,1537.0,6399.0,1612.0,1750.0,1484.0,4846.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2021-03-31,1856.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,590.0,753.0,106.0,358.0,1217.0,49.0,0.0,0.0,49.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2022-03-31,9149.0,411.0,548.0,598.0,1557.0,843.0,926.0,924.0,2693.0,772.0,765.0,585.0,2122.0,835.0,822.0,1120.0,2777.0,Up is Good
LIB01-H,Library Visits,Haxby Explore,Monthly,2023-03-31,0.0,1100.0,1028.0,34.0,2162.0,79.0,46.0,45.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-I,Library Visits,Huntington Library,Monthly,2012-03-31,24869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-I,Library Visits,Huntington Library,Monthly,2013-03-31,22817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
